date,wasserstein_distance,beta0,beta1,beta2,lp2_distance
2019-06-12 00:00:00,0.7802855968475342,1,0,0,2.0
2019-06-13 00:00:00,0.558373898267746,1,0,0,2.0
2019-06-14 00:00:00,0.46372705698013306,1,0,0,0.5
2019-06-17 00:00:00,0.4101817309856415,1,0,0,0.5
2019-06-18 00:00:00,0.3842414617538452,1,0,0,0.5
2019-06-19 00:00:00,0.4395129978656769,1,0,0,0.5
2019-06-20 00:00:00,0.3752497434616089,1,0,0,0.5
2019-06-21 00:00:00,0.3321552872657776,1,0,0,0.5
2019-06-24 00:00:00,0.2946610152721405,1,0,0,0.0
2019-06-25 00:00:00,0.2851358950138092,1,0,0,0.0
2019-06-26 00:00:00,0.23212018609046936,1,0,0,0.0
2019-06-27 00:00:00,0.3160609006881714,1,0,0,0.0
2019-06-28 00:00:00,0.4723535478115082,1,0,0,0.5
2019-07-01 00:00:00,0.6657421588897705,1,0,0,0.5
2019-07-02 00:00:00,0.7906265556812286,1,0,0,0.5
2019-07-03 00:00:00,0.7576608657836914,1,0,0,0.5
2019-07-05 00:00:00,0.867704451084137,1,0,0,0.5
2019-07-08 00:00:00,0.8898748159408569,1,0,0,0.5
2019-07-09 00:00:00,0.7563535869121552,1,0,0,0.5
2019-07-10 00:00:00,0.7381881773471832,1,0,0,0.5
2019-07-11 00:00:00,0.667417973279953,1,0,0,0.0
2019-07-12 00:00:00,0.5534994900226593,1,0,0,0.0
2019-07-15 00:00:00,0.5743914544582367,1,0,0,0.0
2019-07-16 00:00:00,0.5270140469074249,1,0,0,0.0
2019-07-17 00:00:00,0.7045068144798279,1,0,0,0.0
2019-07-18 00:00:00,0.7283856570720673,1,0,0,0.0
2019-07-19 00:00:00,0.6161307394504547,1,0,0,0.0
2019-07-22 00:00:00,0.5822963714599609,1,0,0,0.0
2019-07-23 00:00:00,0.6139595210552216,2,0,0,0.5
2019-07-24 00:00:00,0.6324462294578552,2,0,0,0.5
2019-07-25 00:00:00,0.6629160642623901,2,0,0,0.5
2019-07-26 00:00:00,0.6534454822540283,2,0,0,0.5
2019-07-29 00:00:00,0.8251658976078033,2,0,0,0.5
2019-07-30 00:00:00,1.0485006868839264,3,0,0,2.0
2019-07-31 00:00:00,1.1126273274421692,5,0,0,8.0
2019-08-01 00:00:00,1.7651509046554565,7,0,0,18.0
2019-08-02 00:00:00,2.0510983765125275,8,0,0,24.5
2019-08-05 00:00:00,2.3216081857681274,8,0,0,24.5
2019-08-06 00:00:00,2.4242456257343292,9,0,0,32.0
2019-08-07 00:00:00,2.454917937517166,8,0,0,24.5
2019-08-08 00:00:00,2.4976052343845367,9,0,0,32.0
2019-08-09 00:00:00,2.336847245693207,8,0,0,24.5
2019-08-12 00:00:00,2.29813489317894,8,0,0,24.5
2019-08-13 00:00:00,2.374104917049408,8,0,0,24.5
2019-08-14 00:00:00,2.3373334407806396,8,0,0,24.5
2019-08-15 00:00:00,2.5616890490055084,9,0,0,32.0
2019-08-16 00:00:00,2.4769551753997803,9,0,0,32.0
2019-08-19 00:00:00,2.2734011113643646,8,0,0,24.5
2019-08-20 00:00:00,1.936000019311905,7,0,0,18.0
2019-08-21 00:00:00,1.5450131595134735,5,0,0,4.5
2019-08-22 00:00:00,1.2852754294872284,4,0,0,2.0
2019-08-23 00:00:00,1.090620070695877,3,0,0,0.5
2019-08-26 00:00:00,0.7531443536281586,2,0,0,0.0
2019-08-27 00:00:00,0.6240766048431396,1,0,0,0.5
2019-08-28 00:00:00,0.6562608182430267,2,0,0,0.5
2019-08-29 00:00:00,0.4512195587158203,2,0,0,4.5
2019-08-30 00:00:00,0.9765254259109497,2,0,0,12.5
2019-09-03 00:00:00,1.1968511641025543,2,0,0,18.0
2019-09-04 00:00:00,1.4388291835784912,1,0,0,24.5
2019-09-05 00:00:00,1.426792711019516,2,0,0,24.5
2019-09-06 00:00:00,1.3025546371936798,3,0,0,12.5
2019-09-09 00:00:00,1.3812355399131775,3,0,0,18.0
2019-09-10 00:00:00,1.2090351581573486,3,0,0,12.5
2019-09-11 00:00:00,1.2855976223945618,3,0,0,12.5
2019-09-12 00:00:00,1.3099978566169739,3,0,0,12.5
2019-09-13 00:00:00,1.3103887736797333,3,0,0,12.5
2019-09-16 00:00:00,1.48089998960495,3,0,0,18.0
2019-09-17 00:00:00,1.3910991847515106,3,0,0,18.0
